Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,7,1,     1.8,     1.2,     1.4,     1.6,    27.3,    32.3,    24.3,     4.9,    24.4
Pulau Ubin,2023,7,2,     0.0,     0.0,     0.0,     0.0,    28.8,    33.1,    25.7,     3.4,    16.1
Pulau Ubin,2023,7,3,     2.6,     1.6,     1.8,     2.6,    28.3,    33.7,    26.0,     2.7,    21.7
Pulau Ubin,2023,7,4,     0.2,     0.2,     0.2,     0.2,    28.9,    33.4,    26.1,     3.0,    18.0
Pulau Ubin,2023,7,5,     0.0,     0.0,     0.0,     0.0,    28.3,    34.0,    25.3,     3.4,    27.4
Pulau Ubin,2023,7,6,     1.0,     0.4,     0.6,     1.0,    26.4,    29.0,    24.7,     2.9,    15.2
Pulau Ubin,2023,7,7,    29.0,    16.0,    24.6,    28.2,    26.8,    33.3,    23.7,     3.0,    30.6
Pulau Ubin,2023,7,8,     0.0,     0.0,     0.0,     0.4,    27.8,    33.1,    24.5,     3.2,    21.3
Pulau Ubin,2023,7,9,     4.0,     2.5,     3.0,     4.0,    27.2,    33.3,    24.4,     2.8,    19.8
Pulau Ubin,2023,7,10,     1.0,     1.0,     1.0,     1.0,    27.1,    31.9,    24.9,     2.9,    21.3
Pulau Ubin,2023,7,11,     4.5,     1.0,     2.0,     2.5,    25.4,    26.9,    24.5,     3.0,    26.7
Pulau Ubin,2023,7,12,     0.0,     0.0,     0.0,     0.0,    27.6,    32.3,    24.5,     2.7,    17.6
Pulau Ubin,2023,7,13,     0.0,     0.0,     0.0,     0.0,    28.7,    34.0,    25.3,     3.0,    16.5
Pulau Ubin,2023,7,14,    16.5,     6.0,     8.0,    10.5,    25.6,    27.5,    23.6,     2.5,    23.0
Pulau Ubin,2023,7,15,     0.0,     0.0,     0.0,     0.0,    27.6,    32.6,    24.3,     2.8,    18.3
Pulau Ubin,2023,7,16,     0.0,     0.0,     0.0,     0.0,    28.6,    33.0,    25.2,     3.2,    19.4
Pulau Ubin,2023,7,17,     0.0,     0.0,     0.0,     0.0,    28.2,    31.5,    26.2,     3.6,    25.9
Pulau Ubin,2023,7,18,     2.0,     2.0,     2.0,     2.0,    27.0,    30.1,    24.1,     3.0,    19.4
Pulau Ubin,2023,7,19,     6.5,     6.0,     6.0,     6.0,    27.2,    30.9,    25.4,     2.5,    21.7
Pulau Ubin,2023,7,20,    35.0,    19.5,    22.5,    26.5,    25.4,    27.7,    23.0,     2.6,    38.5
Pulau Ubin,2023,7,21,     0.0,     0.0,     0.0,     0.0,    28.1,    32.5,    25.3,     4.4,    23.7
Pulau Ubin,2023,7,22,     0.0,     0.0,     0.0,     0.0,    28.8,    32.8,    26.1,     4.2,    24.4
Pulau Ubin,2023,7,23,     0.0,     0.0,     0.0,     0.0,    28.0,    32.0,    25.3,     3.3,    20.2
Pulau Ubin,2023,7,24,     0.0,     0.0,     0.0,     0.0,    28.5,    34.4,    25.0,     3.8,    20.9
Pulau Ubin,2023,7,25,     0.0,     0.0,     0.0,     0.0,    29.0,    33.6,    25.8,     4.1,    22.0
Pulau Ubin,2023,7,26,     0.0,     0.0,     0.0,     0.0,    29.3,    33.5,    26.7,     4.4,    20.2
Pulau Ubin,2023,7,27,     0.0,     0.0,     0.0,     0.0,    29.4,    33.1,    27.5,     4.6,    25.9
Pulau Ubin,2023,7,28,     0.0,     0.0,     0.0,     0.0,    29.3,    33.1,    26.7,     4.3,    23.7
Pulau Ubin,2023,7,29,     0.0,     0.0,     0.0,     0.0,    29.2,    32.4,    27.2,     6.2,    27.4
Pulau Ubin,2023,7,30,     0.0,     0.0,     0.0,     0.0,    29.0,    32.2,    26.6,     6.3,    31.3
Pulau Ubin,2023,7,31,     0.0,     0.0,     0.0,     0.0,    28.8,    33.1,    26.6,     5.7,    26.3